,Neighborhood,Alt Bank Name,Alt Bank Lat,Alt Bank Long
0,La Habra Heights,Cashback Loans,33.9253098,-117.8961903
1,La Habra Heights,Check `n Go,33.9314409,-117.9684327
2,Westlake Village,Union Bank,34.1629999,-118.825759
3,Westlake Village,Kinecta Federal Credit Union,34.152877,-118.829536
4,Ladera Heights,Union Bank,34.1546014,-118.7578941
5,Walnut,Western Union,33.9877818,-117.9015977
6,Cerritos,City Cash Services,33.851296,-118.0116322
7,North Whittier,Keith Benson CPA,34.4516613,-118.5755987
8,Castaic Canyons,Cardtronics ATM,34.4930702,-118.6193247
9,Claremont,Money Mart,34.0903933,-117.6692761
10,Claremont,Ontario Check N' Loan,34.0786672,-117.670797
11,Claremont,EZ Cash,34.076344,-117.6907154
12,Claremont,AAA Check Cashing,34.0807101,-117.6894337
13,Claremont,EZ Services,34.0568608,-117.6703747
14,Claremont,Mundo Check Cashing #7,34.0670737,-117.6889961
15,Claremont,Cash 2 Go,34.0553789,-117.6901876
16,Claremont,Walmart Money Center,34.10616570000001,-117.6781846
17,Claremont,Check Cash Loans,34.37913169999999,-118.5284982
18,Claremont,Vallarta Supermarkets,34.380476,-118.543501
19,Santa Clarita,Advance America,34.379307,-118.542241
20,Santa Clarita,Union Bank,34.4121213,-118.5585027
21,Chatsworth,Holmes Investment Inc,34.2568902,-118.60206
22,La Mirada,Cambio Plus Check Cashing,33.8713203,-117.9980344
23,La Mirada,Tienda Mexico Inc,33.8713236,-117.9979655
24,La Mirada,Action One Check Cashing,34.1046967,-117.7493904
25,La Mirada,Express Cash Network,34.11030909999999,-117.7607396
26,La Verne,Check `n Go,34.1075072,-117.7386379
27,Altadena,Check `n Go,34.1789403,-118.131622
28,Encino,MoneyGram,34.6295039,-118.2206091
29,Encino,Advance America,34.66154,-118.20356
30,Encino,Western Union,34.6616319,-118.2024158
31,Quartz Hill,Cardtronics ATM,34.6458414,-118.2200345
32,Quartz Hill,"ATM Network, Inc.",34.6481085,-118.2187852
33,Torrance,Ruby Liquor,33.8349799,-118.3854374
34,Arcadia,In & Out Cash,34.1408649,-118.0730732
35,Rowland Heights,Check Into Cash,33.932884,-117.916409
36,Valinda,Lambert Check Cashing,33.9320942,-117.9427925
37,Valinda,La Habra Check Cashing,33.9390164,-117.9627817
38,Valinda,Enviomex,33.9321841,-117.9356251
39,East La Mirada,ABC Check Cashing & Payday Loans,33.9341631,-117.9325341
40,East La Mirada,ACE Cash Express,33.9402493,-117.9635872
41,Playa Vista,Check Into Cash,34.107733,-117.8240918
42,Duarte,CityLight BulletProof Inc,34.4517321,-118.617226
43,West Carson,Check Into Cash,33.715092,-116.2293627
44,West Carson,Global Cash Access,33.7065475,-116.2251467
45,West Carson,Cashback Loans,33.7152016,-116.2318888
46,West Carson,Union Bank,33.7078714,-116.2744746
47,West Carson,Advance America,33.7076603,-116.2402761
48,West Carson,Cardtronics ATM,33.678494,-116.303129
49,West Carson,Cardtronics ATM,33.6303661,-116.2764752
50,Citrus,Cardtronics ATM,33.7126196,-116.2922652
51,Citrus,Cardtronics ATM,33.7080322,-116.2780309
52,Citrus,Cardtronics ATM,33.7086156,-116.2905295
53,Citrus,Western Union,33.715334,-116.22964
54,Citrus,Walmart Money Center,33.7032763,-116.2812017
55,Citrus,Cardtronics ATM,33.680074,-116.302672
56,Citrus,Cardtronics ATM,33.707777,-116.251777
57,Signal Hill,Check Into Cash,33.8328515,-118.1846665
58,Signal Hill,E Z Check Advance,33.84751850000001,-118.1246003
59,Arleta,Golden Check Cashing,34.0037627,-117.8702519
60,Arleta,Valley Check Cashers,34.009957,-117.8601584
61,West Puente Valley,JMS Cash Service,33.9302291,-117.9952078
62,West Puente Valley,Rashid Check Cashing,33.9249146,-118.0237754
63,West Puente Valley,Check Into Cash,33.918035,-117.99583
64,South Whittier,Speed Check Cashing,33.9190938,-118.0105522
65,Pico-Robertson,California Check Cashing Stores,34.579752,-118.1155947
66,Pico-Robertson,Check Into Cash,34.580089,-118.094966
67,Pico-Robertson,Check `n Go,34.5788132,-118.1266628
68,Pico-Robertson,Payday Advance,34.578974,-118.110535
69,Pico-Robertson,Vallarta Supermarkets,34.580753,-118.0959787
70,Pico-Robertson,Advance America,34.57913,-118.083252
71,Pico-Robertson,Walmart Money Center,34.611589,-118.1449202
72,Beverly Grove,Mundo Check Cashing #1,34.181604,-118.151071
73,Beverly Grove,Continental Currency Services,34.1683081,-118.1319604
74,Beverly Grove,ACE Cash Express,34.1834453,-118.1502713
75,Beverly Grove,Have Cash Advance,34.1692061,-118.1323837
76,Beverly Grove,Hical Financial Group,34.1570521,-118.132634
77,Beverly Grove,Check `n Go,34.136502,-118.1527877
78,Beverly Grove,Check `n Go,34.1122175,-118.1874801
79,Pasadena,EZ Check Advance,33.9903943,-118.4472275
80,Winnetka,Friendly Express Liquor,34.2197904,-118.5729261
81,Norwalk,Freedom 1 Capital,33.9803275,-118.4677141
82,West Whittier-Los Nietos,Monrovia Financial Center,34.1509212,-118.0085074
83,Lopez/Kagel Canyons,Vallarta Supermarkets,34.083206,-117.968746
84,Artesia,Money Mart,33.9578253,-118.0376668
85,Artesia,Memo's Servicios Latinos,33.9189691,-118.0469896
86,Santa Fe Springs,Payday Money Centers- Whittier,33.964675,-118.034851
87,Santa Fe Springs,eDebitDirect,33.9818714,-118.0368597
88,Santa Fe Springs,Speedy Cash,33.9370236,-118.042337
89,Santa Fe Springs,Check Into Cash,33.838913,-118.3632
