LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income
Downtown,265,"$15,003 ",5,0.743,35,8,"$68,647 "
University Park,264,"$18,533 ",29,0.676,3,0,"$68,647 "
Chinatown,263,"$22,754 ",176,0.445,2,0,"$68,647 "
Watts,262,"$25,161 ",154,0.482,7,1,"$68,647 "
Lancaster,165,"$56,069 ",55,0.638,20,20,"$68,647 "
Long Beach,189,"$50,985 ",9,0.723,31,18,"$68,647 "
Vermont Knolls,259,"$27,730 ",136,0.521,4,2,"$68,647 "
Elysian Park,258,"$28,263 ",91,0.582,0,0,"$68,647 "
Florence,257,"$29,447 ",183,0.434,3,2,"$68,647 "
South Park,256,"$29,518 ",213,0.345,0,0,"$68,647 "
Adams-Normandie,255,"$29,606 ",114,0.545,0,1,"$68,647 "
Broadway-Manchester,254,"$29,897 ",148,0.502,1,1,"$68,647 "
Vermont Square,253,"$29,904 ",131,0.527,4,2,"$68,647 "
East Hollywood,252,"$29,927 ",94,0.578,5,4,"$68,647 "
Pomona,173,"$54,242 ",116,0.543,11,14,"$68,647 "
Lincoln Heights,250,"$30,579 ",180,0.436,2,2,"$68,647 "
Historic South-Central,249,"$30,882 ",246,0.229,1,13,"$68,647 "
Harvard Heights,248,"$31,173 ",141,0.517,4,7,"$68,647 "
Vermont-Slauson,247,"$31,236 ",149,0.498,8,4,"$68,647 "
Van Nuys,223,"$41,134 ",98,0.571,10,12,"$68,647 "
Green Meadows,245,"$31,347 ",147,0.512,1,4,"$68,647 "
Arlington Heights,244,"$31,421 ",81,0.6,0,0,"$68,647 "
Central-Alameda,243,"$31,559 ",235,0.267,0,4,"$68,647 "
Westmont,242,"$31,572 ",142,0.514,1,1,"$68,647 "
Jefferson Park,241,"$32,654 ",95,0.577,1,1,"$68,647 "
Boyle Heights,240,"$33,235 ",261,0.115,5,10,"$68,647 "
Inglewood,206,"$46,574 ",99,0.571,9,10,"$68,647 "
Exposition Park,238,"$33,999 ",120,0.539,1,3,"$68,647 "
Florence-Firestone,237,"$34,408 ",243,0.243,3,5,"$68,647 "
Harvard Park,236,"$37,013 ",128,0.533,0,1,"$68,647 "
Echo Park,235,"$37,708 ",123,0.538,1,1,"$68,647 "
Chesterfield Square,234,"$37,737 ",138,0.52,0,0,"$68,647 "
Lennox,233,"$37,937 ",253,0.197,0,2,"$68,647 "
Baldwin Hills/Crenshaw,232,"$37,948 ",166,0.457,6,4,"$68,647 "
West Adams,231,"$38,209 ",119,0.541,1,1,"$68,647 "
Willowbrook,230,"$38,224 ",135,0.523,3,3,"$68,647 "
East Los Angeles,229,"$38,621 ",265,0.065,4,18,"$68,647 "
Cudahy,228,"$39,048 ",260,0.117,1,0,"$68,647 "
Pacoima,195,"$49,066 ",239,0.259,6,10,"$68,647 "
Hyde Park,226,"$39,460 ",152,0.488,2,4,"$68,647 "
Bell,225,"$40,556 ",255,0.173,2,1,"$68,647 "
Koreatown,251,"$30,558 ",78,0.602,17,11,"$68,647 "
Wilmington,224,"$40,627 ",242,0.245,19,9,"$68,647 "
Maywood,222,"$41,203 ",264,0.069,2,5,"$68,647 "
Bell Gardens,221,"$41,532 ",259,0.119,2,4,"$68,647 "
Cypress Park,220,"$42,615 ",220,0.311,0,0,"$68,647 "
Compton,218,"$43,157 ",140,0.519,10,9,"$68,647 "
El Monte,215,"$44,415 ",181,0.435,10,9,"$68,647 "
Pico-Union,261,"$26,424 ",236,0.264,5,8,"$68,647 "
Mid-City,216,"$43,711 ",57,0.637,3,3,"$68,647 "
Hollywood,239,"$33,694 ",52,0.644,6,8,"$68,647 "
East Compton,214,"$44,439 ",191,0.416,0,1,"$68,647 "
Panorama City,213,"$44,468 ",156,0.479,9,3,"$68,647 "
Highland Park,212,"$45,478 ",174,0.449,3,5,"$68,647 "
Leimert Park,211,"$45,865 ",209,0.351,2,1,"$68,647 "
