,Neighborhood,Bank Name,Bank Lat,Bank Long
0,Acton,California Bank & Trust,34.4679602,-118.196853
1,Adams-Normandie,U.S. Bank Branch,34.05108010000001,-118.2543526
2,Adams-Normandie,HAB Bank,34.040711,-118.254527
3,Adams-Normandie,Bank of America Financial Center,34.05337220000001,-118.2536673
4,Adams-Normandie,Wells Fargo Bank,34.0528456,-118.2519156
5,Adams-Normandie,Check Into Cash,34.016585,-118.335599
6,Adams-Normandie,Us Metro Bank,34.0613691,-118.3012045
7,Adams-Normandie,Chase Bank,34.065026,-118.376479
8,Adams-Normandie,DBS Bank,34.04946919999999,-118.2607851
9,Adams-Normandie,Ameri Money Bank,34.05108010000001,-118.2543526
10,Adams-Normandie,Citibank,34.06155299999999,-118.301188
11,Adams-Normandie,Chase Bank,34.063172,-118.366198
12,Adams-Normandie,National Bank Services,34.04342159999999,-118.2573019
13,Adams-Normandie,Chase Bank,34.0223091,-118.2803542
14,Adams-Normandie,Wells Fargo Bank,34.0492187,-118.2570021
15,Adams-Normandie,First Foundation Bank,34.048012,-118.258888
16,Adams-Normandie,Chase Bank,34.062098,-118.351239
17,Adams-Normandie,Capital Factors,34.0480519,-118.258582
18,Adams-Normandie,United Mizrahi Bank Ltd,34.0494005,-118.258608
19,Adams-Normandie,Citibank,34.101685,-118.258837
20,Adams-Normandie,Bank Sino Pac,34.05222139999999,-118.2528213
21,Adams-Normandie,Citibank,34.05186699999999,-118.255289
22,Adams-Normandie,Chase Bank,34.051458,-118.253578
23,Adams-Normandie,Financial Bank Card Services,34.0613935,-118.2931958
24,Adams-Normandie,U.S. Bank Branch,34.0700012,-118.2909396
25,Adams-Normandie,Taiwan Business Bank,34.0511203,-118.2543221
26,Adams-Normandie,Wells Fargo Bank,34.0256506,-118.2698362
27,Adams-Normandie,First Commercial Bank Los,34.0514139,-118.2567698
28,Adams-Normandie,Check Into Cash,34.02066200000001,-118.404567
29,Adams-Normandie,Citibank,34.02253599999999,-118.292228
30,Adams-Normandie,Comerica Bank,34.06197909999999,-118.3057112
31,Adams-Normandie,American Business Bank,34.0487476,-118.254718
32,Adams-Normandie,Wells Fargo Bank,34.0450747,-118.2633135
33,Adams-Normandie,Pacific City Bank,34.0326836,-118.2508358
34,Adams-Normandie,Chang Hwa Commercial Bank,34.0528294,-118.2518425
35,Adams-Normandie,Hanmi Bank,34.0546482,-118.2918209
36,Adams-Normandie,HSBC Bank,34.04946919999999,-118.2607851
37,Adams-Normandie,Hanmi Bank,34.0557129,-118.3088892
38,Adams-Normandie,Marquette Business Credit,34.0528294,-118.2518425
39,Adams-Normandie,Wells Fargo Bank,34.0992767,-118.2914425
40,Adams-Normandie,Wells Fargo Bank,34.05290859999999,-118.2653159
41,Adams-Normandie,Chase Bank,34.099983,-118.291231
42,Adams-Normandie,Bank of Taiwan,34.0508366,-118.2593009
43,Adams-Normandie,Comerica Bank,34.0983504,-118.3256614
44,Adams-Normandie,Zions First National Bank,34.0496492,-118.2556706
45,Adams-Normandie,East West Bank,34.048046,-118.255602
46,Adams-Normandie,Wells Fargo Bank,34.0628013,-118.3511346
47,Adams-Normandie,Hanmi Bank,34.0523893,-118.3088766
48,Adams-Normandie,East West Bank,34.1023666,-118.2587086
49,Adams-Normandie,Bank of Hope,34.061537,-118.303823
50,Adams-Normandie,Citibank,34.067291,-118.3981734
51,Adams-Normandie,Hanmi Bank,34.0330296,-118.2527194
52,Adams-Normandie,Amegy Bank of Texas,34.05002699999999,-118.2415052
53,Adams-Normandie,Discount Banker Realty,34.06410889999999,-118.3680279
54,Adams-Normandie,Wells Fargo Bank,34.0600267,-118.3084788
55,Adams-Normandie,Sumitomo Bank Ltd,34.048447,-118.261423
56,Adams-Normandie,HSBC Bank,34.0629145,-118.3088463
57,Adams-Normandie,Wedbush Capital Partners,34.0504684,-118.2612892
58,Adams-Normandie,Bank of America Financial Center,34.0536844,-118.3764631
59,Adams-Normandie,Chase Bank,34.04946919999999,-118.2607851
60,Adams-Normandie,Bank of America Financial Center,33.9791229,-118.2255703
61,Agoura Hills,Citibank,34.1619772,-118.8238043
62,Agoura Hills,Citibank,34.156517,-118.756529
63,Agoura Hills,Comerica Bank,34.1526449,-118.8226627
64,Agoura Hills,Union Bank,34.1629999,-118.825759
65,Agoura Hills,Mechanics Bank,34.1555984,-118.8277082
66,Agoura Hills,Wells Fargo Bank,34.1622731,-118.8244262
67,Agoura Hills,U.S. Bank Branch,34.153664,-118.7591815
68,Agoura Hills,Wells Fargo Bank,34.1560875,-118.7571537
69,Agoura Hills,Earth Payment Solutions LLC,34.1442979,-118.774433
70,Agoura Hills,Chase Bank,34.153876,-118.757583
71,Agoura Hills,Chase Bank,34.15171699999999,-118.8269227
72,Agoura Hills,Pacific Western Bank,34.1485005,-118.8193665
73,Agoura Hills,U.S. Bank Branch,34.1542105,-118.7958167
74,Agoura Hills,U.S. Bank Branch,34.1838717,-118.7879667
75,Agoura Hills,Montecito Bank & Trust,34.15301960000001,-118.8264832
76,Agoura Hills,Wells Fargo Bank,34.1537286,-118.7946428
77,Agoura Hills,Bank of America,34.1462171,-118.7985003
78,Agoura Hills,Bank of America Financial Center,34.153094,-118.7580106
79,Agoura Hills,Rabobank,34.16326319999999,-118.8263556
80,Agoura Hills,U.S. Bank ATM - Agoura Hills - Vons,34.15379209999999,-118.7588842
81,Agoura Hills,ATMPartMart.com,34.1580675,-118.830822
82,Agoura Hills,Wells Fargo Bank,34.1824872,-118.7858909
83,Agoura Hills,OneWest Bank,34.1544241,-118.7574755
84,Agoura Hills,Cambridge Wealth Management,34.1652264,-118.8283764
85,Agoura Hills,Community West Bank,34.153624,-118.82873
86,Agoura Hills,United States Bankcard Services,34.156021,-118.7982684
87,Agoura Hills,OneWest Bank,34.1537509,-118.8258441
88,Agoura Hills,Boston Private,34.1529245,-118.8291013
89,Agoura Hills,Bank of America,34.1465709,-118.7723711
90,Agoura Hills,Bankers Capital Funding,34.141695,-118.737597
91,Agoura Hills,Chase Bank,34.1553173,-118.7948106
92,Agoura Hills,Cash Convenience Industries,34.1573382,-118.8319601
93,Agoura Hills,First Bank,34.1506581,-118.8246358
94,Agoura Hills,Chase,34.1615713,-118.8249204
95,Agoura Hills,Imperial Capital LLC,34.15607900000001,-118.829315
96,Agoura Hills,Royal Business Bank,34.1606576,-118.8369655
97,Agoura Hills,Bank of America Financial Center,34.15354949999999,-118.8273812
98,Agoura Hills,Chase Bank,34.2111681,-118.8403171
99,Agoura Hills,Bank of America Financial Center,34.18424900000001,-118.7868549
100,Agoura Hills,Bank of America Financial Center,34.210832,-118.8414966
101,Agoura Hills,Chase Bank,34.1616009,-118.8249496
102,Agoura Hills,U.S. Bank Branch,34.2099461,-118.8409418
103,Agoura Hills,U.S. Bank ATM - Los Arboles - Vons,34.2100525,-118.8408166
104,Agoura Hills,Ignite Payments Network,34.15405750000001,-118.6537077
105,Agoura Hills,United Mizrahi Bank,34.14829940000001,-118.7623421
106,Agoura Hills,Union Bank,34.1546014,-118.7578941
107,Agoura Hills,Montecito Bank,34.1478479,-118.7667524
108,Agoura Hills,Pacific Capital Bankcorp,34.14754060000001,-118.7829711
109,Agoura Hills,Bank of America Financial Center,34.1561544,-118.7943643
110,Agoura Hills,Wells Fargo Bank,34.1529944,-118.8278367
111,Agoura Hills,Citizens Business Bank,34.15586939999999,-118.8280452
112,Agoura Hills,City National Bank Branch,34.1563977,-118.8281813
113,Agoura Hills,"ATM 7ELEVEN, INC.",34.1774688,-118.8504066
114,Agoura Hills,CardConnect Network,34.15405750000001,-118.6537077
115,Agoura Hills,City National Bank Branch,34.1443462,-118.1325843
116,Alhambra,Chase Bank,34.145613,-118.132724
117,Alhambra,Citibank,34.063964,-118.123073
118,Alhambra,Opus Bank,34.146255,-118.1318756
119,Alhambra,Citibank,34.093338,-118.125905
120,Alhambra,Wells Fargo Bank,34.145384,-118.158089
121,Alhambra,East West Bank,34.0622924,-118.1252908
122,Alhambra,Citibank,34.135998,-118.15386
123,Alhambra,financiallywell.org,34.1415544,-118.1329777
124,Alhambra,Chase Bank,34.1095935,-118.1923526
125,Alhambra,Citibank,34.081103,-118.072963
