LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income,Population Density Rank,Population Per Sq Mile,Square Miles,banks/person/mile,altbanks/person/mile
Northwest Antelope Valley,150,58899,203,0.372,0,1,68647,260,16,213.858460558,0,0.0625
Lancaster,165,56069,55,0.638,20,20,68647,226,1180,102.399673487,1.694915254,1.694915254
Long Beach,189,50985,9,0.723,31,18,68647,114,8882,52.1003673205,0.349020491,0.202657059
East Los Angeles,229,38621,265,0.065,4,18,68647,30,16863,7.46596436352,0.023720572,0.106742572
Pomona,173,54242,116,0.543,11,14,68647,147,6556,22.9203858517,0.167785235,0.213544844
Historic South-Central,249,30882,246,0.229,1,13,68647,17,19474,2.55351898402,0.005135052,0.066755674
Downtown,265,15003,5,0.743,35,8,68647,170,4770,5.83816978,0.007337526,0.001677149
Van Nuys,223,41134,98,0.571,10,12,68647,72,11542,8.99090891865,0.086640097,0.103968116
Santa Fe Springs,148,60445,175,0.448,12,3,68647,217,2014,8.85545159124,0.005958292,0.001489573
Pacoima,195,49066,239,0.259,6,10,68647,84,10510, 7.1375539566,0.057088487,0.095147479
Reseda,171,54771,42,0.656,4,10,68647,81,10600,5.86549089197,0.037735849,0.094339623
Sun Village,164,56175,71,0.619,0,1,68647,235,917,10.2290764366,0,0.001090513
Inglewood,206,46574,99,0.571,9,10,68647,61,12330,9.12268299949,0.072992701,0.081103001
Rancho Dominguez,88,72097,16,0.701,0,1,68647,233,947, 2.6664275612,0,0.001055966
Boyle Heights,240,33235,261,0.115,5,10,68647,46,14229,6.51900530941,0.035139504,0.070279008
Wilmington,224,40627,242,0.245,19,9,68647,163,5636, 9.1412927044,0.337118524,0.159687722
Compton,218,43157,140,0.519,10,9,68647,110,9199,10.2604113792,0.108707468,0.097836721
El Monte,215,44415,181,0.435,10,9,68647,66,11995,9.69174808989,0.08336807,0.075031263
Palmdale,132,63317,32,0.67,11,8,68647,237,874,134.417681526,1.258581236,0.915331808
Sun Valley,188,51290,157,0.479,6,8,68647,125,8048,9.42392419761,0.074552684,0.099403579
Chatsworth,57,84456,130,0.527,9,2,68647,211,2301,15.2435966589,0.003911343,0.000869187
East Pasadena,83,73690,18,0.692,0,4,68647,173,4622,1.30792712424,0,0.000865426
Hollywood,239,33694,52,0.644,6,8,68647,7,22193,3.50639022096,0.027035552,0.036047402
Pico-Union,261,26424,236,0.264,5,8,68647,4,25352,1.66946888734,0.01972231,0.031555696
Pasadena,134,62825,12,0.706,4,7,68647,167,5366,25.1460636976,0.074543422,0.130450988
Quartz Hill,74,77498,186,0.43,1,2,68647,209,2475,3.77877433414,0.00040404,0.000808081
Lakewood,71,78764,48,0.649,11,7,68647,123,8348,9.51248700913,0.131768088,0.08385242
Canoga Park,187,51601,62,0.632,8,7,68647,64,12240,4.34851812528,0.065359477,0.057189542
Hawthorne,217,43602,27,0.676,5,7,68647,48,13848,6.22963426694,0.036106297,0.050548816
Lynwood,199,48518,221,0.309,6,7,68647,45,14264,4.90022698292,0.042063937,0.049074593
Azusa,177,53299,137,0.521,5,3,68647,177,4496, 9.8714355887,0.0011121,0.00066726
Castaic,28,108693,43,0.654,1,2,68647,196,3076,5.476575183,0.000325098,0.000650195
Duarte,103,68539,20,0.687,4,2,68647,194,3212,6.68890771425,0.00124533,0.000622665
Harvard Heights,248,31173,141,0.517,4,7,68647,6,23473,.791828822117,0.017040855,0.029821497
Walnut,30,106893,74,0.612,12,2,68647,192,3329,9.01303061898,0.003604686,0.000600781
Torrance,76,76866,67,0.628,33,4,68647,143,6701,20.5832400164,0.004924638,0.000596926
Covina,116,66438,44,0.653,6,4,68647,144,6701,7.60402649998,0.000895389,0.000596926
Westlake,260,26757,185,0.43,7,7,68647,2,38214,2.71730553526,0.018317894,0.018317894
Carson,92,70645,6,0.741,8,6,68647,172,4676,19.1495884923,0.171086399,0.128314799
Glendale,158,57112,59,0.635,25,6,68647,151,6368,30.6279832578,0.39258794,0.094221106
Pico Rivera,160,56683,248,0.221,7,4,68647,136,7187, 8.7868828889,0.000973981,0.00055656
Whittier,111,66891,108,0.548,25,3,68647,162,5688,14.7406413064,0.004395218,0.000527426
Montebello,183,52623,190,0.417,10,6,68647,135,7329, 8.4543000379,0.136444263,0.081866558
Winnetka,136,62535,26,0.678,10,6,68647,100,9826,4.77724070209,0.101770812,0.061062487
Norwalk,137,62412,105,0.554,5,6,68647,82,10572,9.76375938611,0.047294741,0.056753689
Bellflower,176,53325,17,0.694,4,6,68647,70,11756,6.19531162394,0.034025179,0.051037768
Northridge,107,67906,35,0.661,15,3,68647,152,6080,9.46748743941,0.002467105,0.000493421
La Puente,166,55902,225,0.306,4,6,68647,69,11761,3.48684995452,0.034010713,0.05101607
Brentwood,25,112927,230,0.283,9,1,68647,216,2059,15.2237014135,0.004371054,0.000485673
Claremont,49,89804,113,0.545,7,1,68647,215,2124,16.6616865732,0.003295669,0.00047081
Rolling Hills Estates,9,145628,162,0.469,12,1,68647,214,2185,3.81434802056,0.005491991,0.000457666
North Hollywood,219,42791,89,0.586,6,6,68647,53,13264,5.86911546946,0.045235223,0.045235223
San Pedro,156,57508,66,0.63,14,3,68647,146,6640,12.0587181952,0.002108434,0.000451807
San Dimas,56,84953,100,0.565,8,1,68647,212,2244,15.6282037911,0.003565062,0.000445633
Altadena,65,82676,14,0.702,0,2,68647,169,4900,8.71033767246,0,0.000408163
Huntington Park,227,39185,262,0.094,8,6,68647,14,20223,3.03466655287,0.039558918,0.029669189
Gardena,181,52897,4,0.748,16,4,68647,97,9894,5.84389184747,0.001617142,0.000404285
Agoura Hills,23,117608,226,0.304,12,1,68647,208,2495,8.14676029818,0.004809619,0.000400802
Eagle Rock,110,67253,19,0.69,5,3,68647,132,7644,4.25075591913,0.000654108,0.000392465
Glendora,66,81336,151,0.495,14,1,68647,207,2568,19.5413403615,0.005451713,0.000389408
South Whittier,127,64670,169,0.457,0,4,68647,88,10291,5.37231811994,0,0.000388689
