LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Population Density Rank,Population Per Sq Mile
Bel-Air,1,"$207,938",228,0.301,225,"1,207"
Hidden Hills,2,"$203,199",251,0.207,229,"1,100"
Rolling Hills,3,"$184,777",193,0.396,236,893
Beverly Crest,4,"$169,282",245,0.230,223,"1,318"
Pacific Palisades,5,"$168,008",250,0.210,230,"1,048"
Palos Verdes Estates,6,"$167,344",192,0.398,200,"2,822"
San Marino,7,"$158,855",90,0.584,190,"3,428"
La Cañada Flintridge,8,"$148,996",168,0.457,210,"2,369"
Rolling Hills Estates,9,"$145,628",162,0.469,214,"2,185"
Malibu,10,"$138,215",252,0.207,242,629
La Habra Heights,11,"$137,034",121,0.539,232,979
Manhattan Beach,12,"$136,481",237,0.262,117,"8,573"
Unincorporated Santa Monica Mountains,13,"$132,997",223,0.309,251,100
Rancho Palos Verdes,14,"$128,321",125,0.537,195,"3,084"
Westlake Village,15,"$126,550",238,0.261,222,"1,534"
Calabasas,16,"$126,178",229,0.298,224,"1,247"
West San Dimas,17,"$125,984",93,0.581,234,937
Bradbury,18,"$123,773",145,0.513,241,658
Stevenson Ranch,19,"$122,833",127,0.534,202,"2,765"
Porter Ranch,20,"$121,428",107,0.551,178,"4,462"
Topanga,21,"$120,319",247,0.227,244,386
Ladera Heights,22,"$117,925",170,0.456,213,"2,214"
Agoura Hills,23,"$117,608",226,0.304,208,"2,495"
Leona Valley,24,"$117,526",208,0.353,253,90
Brentwood,25,"$112,927",230,0.283,216,"2,059"
Cheviot Hills,26,"$111,813",204,0.364,175,"4,520"
Hermosa Beach,27,"$109,509",234,0.272,60,"12,481"
Castaic,28,"$108,693",43,0.654,196,"3,076"
Hollywood Hills West,29,"$108,199",233,0.273,198,"3,048"
Walnut,30,"$106,893",74,0.612,192,"3,329"
Hasley Canyon,31,"$106,489",110,0.547,250,136
Agua Dulce,32,"$106,078",231,0.282,252,99
Beverlywood,33,"$105,253",210,0.348,131,"7,654"
Northwest Palmdale,34,"$103,013",188,0.421,243,540
West Hills,35,"$103,008",161,0.470,174,"4,551"
Cerritos,36,"$98,212",82,0.599,157,"5,851"
Beverly Hills,37,"$96,312",217,0.320,155,"5,933"
Century City,38,"$95,135",222,0.309,127,"7,869"
North Whittier,39,"$93,841",88,0.588,238,797
Unincorporated Santa Susana Mountains,40,"$93,825",79,0.602,256,58
Castaic Canyons,41,"$93,248",187,0.430,257,40
San Pasqual,42,"$92,917",80,0.601,126,"8,036"
Ridge Route,43,"$92,822",165,0.462,263,7
Marina del Rey,44,"$92,763",201,0.377,161,"5,706"
Diamond Bar,45,"$92,414",21,0.687,186,"3,754"
Redondo Beach,46,"$92,263",158,0.474,91,"10,129"
Playa del Rey,47,"$91,339",173,0.451,189,"3,542"
Woodland Hills,48,"$89,946",202,0.374,181,"4,040"
Claremont,49,"$89,804",113,0.545,215,"2,124"
Santa Clarita,50,"$88,987",155,0.479,203,"2,745"
Sierra Madre,51,"$88,008",207,0.353,188,"3,563"
West Los Angeles,52,"$86,403",195,0.393,65,"12,061"
Ramona,53,"$86,325",15,0.702,228,"1,122"
Tujunga Canyons,54,"$85,625",198,0.384,261,11
Hancock Park,55,"$85,277",159,0.473,149,"6,459"
San Dimas,56,"$84,953",100,0.565,212,"2,244"
Chatsworth,57,"$84,456",130,0.527,211,"2,301"
Acton,58,"$83,983",219,0.316,248,166
El Segundo,59,"$83,925",199,0.380,199,"2,925"
Granada Hills,60,"$83,911",70,0.620,191,"3,344"
La Mirada,61,"$83,514",53,0.644,154,"5,966"
La Verne,62,"$83,352",129,0.530,183,"3,863"
Shadow Hills,63,"$82,796",102,0.562,231,"1,023"
La Crescenta-Montrose,64,"$82,693",143,0.514,165,"5,401"
Altadena,65,"$82,676",14,0.702,169,"4,900"
Glendora,66,"$81,336",151,0.495,207,"2,568"
Vernon,67,"$81,279",257,0.140,259,18
View Park-Windsor Hills,68,"$81,214",241,0.246,153,"6,008"
Desert View Highlands,69,"$80,867",51,0.645,168,"5,160"
Hacienda Heights,70,"$80,762",31,0.674,176,"4,503"
Lakewood,71,"$78,764",48,0.649,123,"8,348"
Green Valley,72,"$78,712",189,0.420,245,290
Encino,73,"$78,529",211,0.346,179,"4,411"
Quartz Hill,74,"$77,498",186,0.430,209,"2,475"
Westchester,75,"$77,473",37,0.660,184,"3,839"
Torrance,76,"$76,866",67,0.628,143,"6,701"
South Pasadena,77,"$76,229",45,0.651,139,"7,114"
Elizabeth Lake,78,"$75,951",196,0.390,246,219
Arcadia,79,"$75,808",69,0.620,171,"4,749"
Mission Hills,80,"$75,675",72,0.615,159,"5,721"
Studio City,81,"$75,657",200,0.378,166,"5,395"
Lake Hughes,82,"$74,918",197,0.389,255,61
East Pasadena,83,"$73,690",18,0.692,173,"4,622"
Tarzana,84,"$73,195",160,0.471,182,"4,038"
Toluca Lake,85,"$73,111",167,0.457,150,"6,393"
Angeles Crest,86,"$72,841",172,0.452,264,3
Rowland Heights,87,"$72,638",63,0.632,187,"3,604"
Rancho Dominguez,88,"$72,097",16,0.701,233,947
West Covina,89,"$71,898",23,0.682,148,"6,509"
Carthay,90,"$71,398",73,0.615,104,"9,642"
Culver City,91,"$70,774",24,0.681,134,"7,475"
Carson,92,"$70,645",6,0.741,172,"4,676"
Southeast Antelope Valley,93,"$70,134",194,0.393,258,27
Valinda,94,"$70,037",153,0.482,79,"10,748"
East La Mirada,95,"$69,930",103,0.561,120,"8,506"
Rancho Park,96,"$69,724",83,0.598,137,"7,169"
Sherman Oaks,97,"$69,651",182,0.434,145,"6,687"
Hollywood Hills,98,"$69,277",184,0.433,197,"3,063"
Santa Monica,99,"$69,013",164,0.465,102,"9,817"
Sunland,100,"$68,720",133,0.526,185,"3,825"
Westwood,101,"$68,716",117,0.543,54,"13,036"
Playa Vista,102,"$68,597",10,0.722,219,"1,859"
Duarte,103,"$68,539",20,0.687,194,"3,212"
Charter Oak,104,"$68,092",39,0.659,103,"9,816"
Val Verde,105,"$68,073",77,0.602,206,"2,588"
Lake View Terrace,106,"$67,985",58,0.636,201,"2,790"
Northridge,107,"$67,906",35,0.661,152,"6,080"
Venice,108,"$67,647",126,0.534,67,"11,891"
Mayflower Village,109,"$67,592",40,0.658,105,"9,585"
Eagle Rock,110,"$67,253",19,0.690,132,"7,644"
Whittier,111,"$66,891",108,0.548,162,"5,688"
West Carson,112,"$66,805",3,0.748,109,"9,219"
Citrus,113,"$66,638",139,0.519,68,"11,827"
Industry,114,"$66,616",112,0.546,254,82
Del Aire,115,"$66,442",41,0.657,111,"9,132"
Covina,116,"$66,438",44,0.653,144,"6,701"
Signal Hill,117,"$66,283",8,0.737,180,"4,171"
Vincent,118,"$66,221",97,0.574,89,"10,163"
Temple City,119,"$65,965",34,0.665,122,"8,366"
Fairfax,120,"$65,938",232,0.277,92,"10,122"
Sylmar,121,"$65,783",163,0.466,164,"5,579"
Arleta,122,"$65,649",171,0.455,94,"10,034"
South San Jose Hills,123,"$65,527",227,0.304,49,"13,646"
Lake Balboa,124,"$65,336",61,0.632,129,"7,754"
South San Gabriel,125,"$64,827",86,0.590,160,"5,708"
West Puente Valley,126,"$64,809",214,0.334,57,"12,855"
South Whittier,127,"$64,670",169,0.457,88,"10,291"
Avocado Heights,128,"$64,544",205,0.362,156,"5,907"
Burbank,129,"$64,416",92,0.581,158,"5,785"
East San Gabriel,130,"$64,365",22,0.683,90,"10,157"
Pico-Robertson,131,"$63,356",178,0.442,26,"17,468"
Palmdale,132,"$63,317",32,0.670,237,874
Beverly Grove,133,"$63,039",218,0.319,55,"12,990"
Pasadena,134,"$62,825",12,0.706,167,"5,366"
Mar Vista,135,"$62,611",60,0.634,63,"12,259"
Winnetka,136,"$62,535",26,0.678,100,"9,826"
Norwalk,137,"$62,412",105,0.554,82,"10,572"
Del Rey,138,"$62,259",33,0.666,74,"11,420"
Downey,139,"$61,839",96,0.577,118,"8,566"
Windsor Square,140,"$61,767",36,0.661,124,"8,255"
West Whittier-Los Nietos,141,"$61,504",224,0.307,96,"9,899"
Monrovia,142,"$61,504",47,0.650,205,"2,643"
Lopez/Kagel Canyons,143,"$61,398",118,0.543,247,195
Irwindale,144,"$60,959",249,0.212,249,154
Littlerock,145,"$60,781",84,0.592,239,766
Veterans Administration,146,"$60,561",85,0.592,240,683
Artesia,147,"$60,538",13,0.706,93,"10,036"
Santa Fe Springs,148,"$60,445",175,0.448,217,"2,014"
Lomita,149,"$59,059",68,0.626,86,"10,424"
Northwest Antelope Valley,150,"$58,899",203,0.372,260,16
Mid-Wilshire,151,"$58,483",1,0.755,42,"14,988"
Tujunga,152,"$58,001",104,0.557,204,"2,649"
Gramercy Park,153,"$57,983",244,0.241,115,"8,859"
Mount Washington,154,"$57,725",101,0.565,141,"6,878"
Sawtelle,155,"$57,710",38,0.659,52,"13,319"
San Pedro,156,"$57,508",66,0.630,146,"6,640"
Alondra Park,157,"$57,177",2,0.748,133,"7,548"
Glendale,158,"$57,112",59,0.635,151,"6,368"
San Gabriel,159,"$56,687",56,0.637,107,"9,433"
Pico Rivera,160,"$56,683",248,0.221,136,"7,187"
Baldwin Park,161,"$56,585",206,0.360,78,"11,176"
North El Monte,162,"$56,577",25,0.678,116,"8,677"
Unincorporated Catalina Island,163,"$56,295",150,0.495,265,2
Sun Village,164,"$56,175",71,0.619,235,917
Lancaster,165,"$56,069",55,0.638,226,"1,180"
La Puente,166,"$55,902",225,0.306,69,"11,761"
Montecito Heights,167,"$55,901",134,0.524,140,"6,959"
Valley Village,168,"$55,470",146,0.512,71,"11,600"
Harbor City,169,"$55,454",30,0.674,112,"9,127"
Monterey Park,170,"$55,210",124,0.537,128,"7,823"
Reseda,171,"$54,771",42,0.656,81,"10,600"
Silver Lake,172,"$54,339",28,0.676,77,"11,266"
Pomona,173,"$54,242",116,0.543,147,"6,556"
San Fernando,174,"$54,068",254,0.192,99,"9,856"
Atwater Village,175,"$53,872",50,0.645,121,"8,379"
Bellflower,176,"$53,325",17,0.694,70,"11,756"
Azusa,177,"$53,299",137,0.521,177,"4,496"
Alhambra,178,"$53,224",65,0.631,76,"11,275"
Avalon,179,"$53,200",115,0.543,227,"1,159"
Lawndale,180,"$53,150",46,0.651,36,"16,119"
Gardena,181,"$52,897",4,0.748,97,"9,894"
West Hollywood,182,"$52,855",215,0.330,18,"18,924"
Montebello,183,"$52,623",190,0.417,135,"7,329"
North Hills,184,"$52,456",76,0.604,95,"10,003"
Northeast Antelope Valley,185,"$52,234",109,0.548,262,10
Lake Los Angeles,186,"$52,146",54,0.639,220,"1,601"
Canoga Park,187,"$51,601",62,0.632,64,"12,240"
Sun Valley,188,"$51,290",157,0.479,125,"8,048"
Long Beach,189,"$50,985",9,0.723,114,"8,882"
Los Feliz,190,"$50,793",75,0.610,50,"13,512"
Palms,191,"$50,684",7,0.739,9,"21,870"
Glassell Park,192,"$50,098",144,0.513,119,"8,524"
Paramount,193,"$49,815",177,0.445,75,"11,395"
Rosemead,194,"$49,387",87,0.589,87,"10,332"
Pacoima,195,"$49,066",239,0.259,84,"10,510"
Elysian Valley,196,"$49,013",106,0.552,108,"9,354"
Athens,197,"$48,824",111,0.547,142,"6,829"
Walnut Park,198,"$48,750",263,0.089,8,"22,028"
Lynwood,199,"$48,518",221,0.309,45,"14,264"
South Gate,200,"$48,312",256,0.147,56,"12,945"
West Compton,201,"$48,093",122,0.539,193,"3,291"
Harbor Gateway,202,"$47,849",49,0.648,130,"7,720"
Larchmont,203,"$47,780",11,0.708,25,"17,747"
South El Monte,204,"$46,912",240,0.248,138,"7,150"
Hawaiian Gardens,205,"$46,853",179,0.436,39,"15,141"
Inglewood,206,"$46,574",99,0.571,61,"12,330"
Commerce,207,"$46,245",258,0.125,218,"1,912"
Valley Glen,208,"$46,175",64,0.632,62,"12,325"
Manchester Square,209,"$46,093",212,0.346,73,"11,449"
El Sereno,210,"$45,866",216,0.325,101,"9,826"
Leimert Park,211,"$45,865",209,0.351,98,"9,880"
Highland Park,212,"$45,478",174,0.449,31,"16,835"
Panorama City,213,"$44,468",156,0.479,22,"18,028"
East Compton,214,"$44,439",191,0.416,34,"16,542"
El Monte,215,"$44,415",181,0.435,66,"11,995"
Mid-City,216,"$43,711",57,0.637,41,"15,051"
Hawthorne,217,"$43,602",27,0.676,48,"13,848"
Compton,218,"$43,157",140,0.519,110,"9,199"
North Hollywood,219,"$42,791",89,0.586,53,"13,264"
Cypress Park,220,"$42,615",220,0.311,51,"13,478"
Bell Gardens,221,"$41,532",259,0.119,24,"17,762"
Maywood,222,"$41,203",264,0.069,5,"23,638"
Van Nuys,223,"$41,134",98,0.571,72,"11,542"
Wilmington,224,"$40,627",242,0.245,163,"5,636"
Bell,225,"$40,556",255,0.173,44,"14,357"
Hyde Park,226,"$39,460",152,0.488,59,"12,700"
Huntington Park,227,"$39,185",262,0.094,14,"20,223"
Cudahy,228,"$39,048",260,0.117,16,"19,697"
East Los Angeles,229,"$38,621",265,0.065,30,"16,863"
Willowbrook,230,"$38,224",135,0.523,113,"9,117"
West Adams,231,"$38,209",119,0.541,43,"14,686"
Baldwin Hills/Crenshaw,232,"$37,948",166,0.457,85,"10,446"
Lennox,233,"$37,937",253,0.197,12,"21,557"
Chesterfield Square,234,"$37,737",138,0.520,106,"9,571"
Echo Park,235,"$37,708",123,0.538,29,"16,868"
Harvard Park,236,"$37,013",128,0.533,37,"16,072"
Florence-Firestone,237,"$34,408",243,0.243,33,"16,805"
Exposition Park,238,"$33,999",120,0.539,32,"16,819"
Hollywood,239,"$33,694",52,0.644,7,"22,193"
Boyle Heights,240,"$33,235",261,0.115,46,"14,229"
Jefferson Park,241,"$32,654",95,0.577,35,"16,300"
Westmont,242,"$31,572",142,0.514,28,"17,066"
Central-Alameda,243,"$31,559",235,0.267,19,"18,760"
Arlington Heights,244,"$31,421",81,0.600,13,"21,423"
Green Meadows,245,"$31,347",147,0.512,58,"12,785"
Vermont Vista,246,"$31,272",132,0.526,47,"14,154"
Vermont-Slauson,247,"$31,236",149,0.498,20,"18,577"
Harvard Heights,248,"$31,173",141,0.517,6,"23,473"
Historic South-Central,249,"$30,882",246,0.229,17,"19,474"
Lincoln Heights,250,"$30,579",180,0.436,80,"10,602"
Koreatown,251,"$30,558",78,0.602,1,"42,611"
East Hollywood,252,"$29,927",94,0.578,3,"31,095"
Vermont Square,253,"$29,904",131,0.527,23,"17,798"
Broadway-Manchester,254,"$29,897",148,0.502,40,"15,060"
Adams-Normandie,255,"$29,606",114,0.545,10,"21,848"
South Park,256,"$29,518",213,0.345,11,"21,638"
Florence,257,"$29,447",183,0.434,38,"15,661"
Elysian Park,258,"$28,263",91,0.582,221,"1,538"
Vermont Knolls,259,"$27,730",136,0.521,21,"18,057"
Westlake,260,"$26,757",185,0.430,2,"38,214"
Pico-Union,261,"$26,424",236,0.264,4,"25,352"
Watts,262,"$25,161",154,0.482,27,"17,346"
Chinatown,263,"$22,754",176,0.445,83,"10,568"
University Park,264,"$18,533",29,0.676,15,"20,217"
Downtown,265,"$15,003",5,0.743,170,"4,770"
